name,ACDC,sunnybrook,STACOM’11,RVSC,M&Ms,BRATS,PROMISE12,LIDC-IDRI,DRIVE,CBIS-DDSM,Chexpert,ChestX-Ray14,PadChest,MIMIC,VinDr-CXR,PAD-UFES-20,CAMELYON,CADDementia,MRNet,PROSTATEx
Robust Anatomical Landmark Detection for MR Brain Image Registration.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep Doubly Supervised Transfer Network for Diagnosis of Breast Cancer with Imbalanced Ultrasound Imaging Modalities.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Federated Simulation for Medical Imaging.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Robust Muscle Cell Quantification Using Structured Edge Detection and Hierarchical Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Analyzing the role of model uncertainty for electronic health records.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Automatic Nuchal Translucency Measurement from Ultrasonography.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Learning Interpretable Anatomical Features Through Deep Generative Models: Application to Cardiac Remodeling.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SUPER-IVIM-DC: Intra-voxel Incoherent Motion Based Fetal Lung Maturity Assessment from Limited DWI Data Using Supervised Learning Coupled with Data-Consistency.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
An AI-based Framework for Diagnostic Quality Assessment of Ankle Radiographs.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Medical Image Retrieval Using Multi-graph Learning for MCI Diagnostic Assistance.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fusing Functional Signals by Sparse Canonical Correlation Analysis Improves Network Reproducibility.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RinQ Fingerprinting: Recurrence-Informed Quantile Networks for Magnetic Resonance Fingerprinting.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multi-StyleGAN: Towards Image-Based Simulation of Time-Lapse Live-Cell Microscopy.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anatomy-Constrained Contrastive Learning for Synthetic Segmentation Without Ground-Truth.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LAMP: Large Deep Nets with Automated Model Parallelism for Image Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Microtubule Tracking in Electron Microscopy Volumes.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Macro-Micro Weakly-Supervised Framework for AS-OCT Tissue Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Perfusion Quantification from Endoscopic Videos: Learning to Read Tumor Signatures.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep Learning-Based Feature Representation for AD MCI Classification.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Residual learning for 3D motion corrected quantitative MRI: Robust clinical T1, T2 and proton density mapping.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Simultaneous Bone and Shadow Segmentation Network Using Task Correspondence Consistency.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Feature Re-calibration Based Multiple Instance Learning for Whole Slide Image Classification.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zoom-in-Net: Deep Mining Lesions for Diabetic Retinopathy Detection.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Uncertainty-Guided Lung Nodule Segmentation with Feature-Aware Attention.,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Machine Learning for Automated Mitral Regurgitation Detection from Cardiac Imaging.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Equivariant Filters for Efficient Tracking in 3D Imaging.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Spherical Convolutional Neural Network for White Matter Structure Imaging via dMRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sparse Bayesian Registration.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Outcome Prediction for Patient with High-Grade Gliomas from Brain Functional and Structural Networks.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Constructive Real Time Feedback for a Temporal Bone Simulator.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
