doc_name,label1,label2,value
Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?,CAMELYON,In Method,True
Graph-Text Multi-Modal Pre-training for Medical Representation Learning,MIMIC,In Abstract,True
Graph-Text Multi-Modal Pre-training for Medical Representation Learning,MIMIC,Elsewhere,True
Graph-Text Multi-Modal Pre-training for Medical Representation Learning,MIMIC,In Method,True
Graph-Text Multi-Modal Pre-training for Medical Representation Learning,MIMIC,In Figure,True
Generation of 3D Brain MRI Using Auto-Encoding Generative Adversarial Networks,BRATS,In Table,True
ASC-Net: Adversarial-Based Selective Network for Unsupervised Anomaly Segmentation,BRATS,In Abstract,True
ASC-Net: Adversarial-Based Selective Network for Unsupervised Anomaly Segmentation,BRATS,Elsewhere,True
ASC-Net: Adversarial-Based Selective Network for Unsupervised Anomaly Segmentation,BRATS,In Figure,True
Analyzing the role of model uncertainty for electronic health records,MIMIC,Elsewhere,True
Analyzing the role of model uncertainty for electronic health records,MIMIC,In Method,True
Analyzing the role of model uncertainty for electronic health records,MIMIC,In Figure,True
Trustworthy machine learning for health care,Chexpert,In Method,True
Trustworthy machine learning for health care,Chexpert,Elsewhere,True
Trustworthy machine learning for health care,Chexpert,In Table,True
Group-Attention Single-Shot Detector (GA-SSD): Finding Pulmonary Nodules in Large-Scale CT Images,LIDC-IDRI,Elsewhere,True
Group-Attention Single-Shot Detector (GA-SSD): Finding Pulmonary Nodules in Large-Scale CT Images,LIDC-IDRI,In Method,True
Deep Hierarchical Multi-label Classification of Chest X-ray Images,Chexpert,Elsewhere,True
Primary Tumor and Inter-Organ Augmentations for Supervised Lymph Node Colon Adenocarcinoma Metastasis Detection,CAMELYON,Elsewhere,True
Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays,Chexpert,Elsewhere,True
Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays,PadChest,In Abstract,True
Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays,PadChest,Elsewhere,True
Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays,PadChest,In Method,True
Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays,PadChest,In Figure,True
Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays,MIMIC,Elsewhere,True
Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,BRATS,In Method,True
Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,BRATS,In Table,True
A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation,BRATS,In Abstract,True
A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation,BRATS,Elsewhere,True
A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation,BRATS,In Table,True
Explaining Chest X-Ray Pathologies in Natural Language,Chexpert,In Method,True
Explaining Chest X-Ray Pathologies in Natural Language,MIMIC,In Abstract,True
Explaining Chest X-Ray Pathologies in Natural Language,MIMIC,Elsewhere,True
Explaining Chest X-Ray Pathologies in Natural Language,MIMIC,In Method,True
Explaining Chest X-Ray Pathologies in Natural Language,MIMIC,In Table,True
Automatic Dual-View Mass Detection in Full-Field Digital Mammograms,CBIS-DDSM,Elsewhere,True
CAiD: Context-Aware Instance Discrimination for Self-supervised Learning in Medical Imaging,Chexpert,In Method,True
CAiD: Context-Aware Instance Discrimination for Self-supervised Learning in Medical Imaging,Chexpert,In Table,True
CAiD: Context-Aware Instance Discrimination for Self-supervised Learning in Medical Imaging,Chexpert,Elsewhere,True
Incompressible Image Registration Using Divergence-Conforming B-Splines,STACOM’11,In Abstract,True
Incompressible Image Registration Using Divergence-Conforming B-Splines,STACOM’11,Elsewhere,True
Incompressible Image Registration Using Divergence-Conforming B-Splines,STACOM’11,In Method,True
ACN: Adversarial Co-training Network for Brain Tumor Segmentation with Missing Modalities,BRATS,In Abstract,True
ACN: Adversarial Co-training Network for Brain Tumor Segmentation with Missing Modalities,BRATS,In Method,True
ACN: Adversarial Co-training Network for Brain Tumor Segmentation with Missing Modalities,BRATS,Elsewhere,True
