doi,name,ACDC,sunnybrook,STACOM’11,RVSC,M&Ms,BRATS,PROMISE12,LIDC-IDRI,DRIVE,CBIS-DDSM
None,ECONet: Efficient Convolutional Online Likelihood Network for Scribble-based Interactive Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Warmstart Approach for Accelerating Deep Image Prior Reconstruction in Dynamic Tomography.,False,False,False,False,False,False,False,False,False,False
None,Explainable Weakly-Supervised Cell Segmentation by Canonical Shape Learning and Transformation.,False,False,False,False,False,False,False,False,False,False
None,Explainability Guided COVID-19 Detection in CT Scans.,False,False,False,False,False,False,False,False,False,False
None,Learning Shape Reconstruction from Sparse Measurements with Neural Implicit Functions.,False,False,False,False,False,False,False,False,False,False
None,SMU-Net: Style matching U-Net for brain tumor segmentation with missing modalities.,False,False,False,False,False,False,False,False,False,False
None,On learning adaptive acquisition policies for undersampled multi-coil MRI reconstruction.,False,False,False,False,False,False,False,False,False,False
None,Learning to Automatically Generate Accurate ECG Captions.,False,False,False,False,False,False,False,False,False,False
None,Negative Evidence Matters in Interpretable Histology Image Classification.,False,False,False,False,False,False,False,False,False,False
None,Interpretable and Interactive Deep Multiple Instance Learning for Dental Caries Classification in Bitewing X-rays.,False,False,False,False,False,False,False,False,False,False
None,Bridging the Gap: Point Clouds for Merging Neurons in Connectomics.,False,False,False,False,False,False,False,False,False,False
None,Position Regression for Unsupervised Anomaly Detection.,False,False,False,False,False,False,False,False,False,False
None,Domain adaptation through anatomical constraints for 3d human pose estimation under the cover.,False,False,False,False,False,False,False,False,False,False
None,Differentiable Boundary Point Extraction for Weakly Supervised Star-shaped Object Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Holistic Modeling In Medical Image Segmentation Using Spatial Recurrence.,False,False,False,False,False,False,False,False,False,False
None,Automatic planning of liver tumor thermal ablation using deep reinforcement learning.,False,False,False,False,False,False,False,False,False,False
None,TorchXRayVision: A library of chest X-ray datasets and models.,False,False,False,False,False,False,False,False,False,False
None,SZLoc: A Multi-resolution Architecture for Automated Epileptic Seizure Localization from Scalp EEG.,False,False,False,False,False,False,False,False,False,False
None,Surface Vision Transformers: Attention-Based Modelling applied to Cortical Analysis.,False,False,False,False,False,False,False,False,False,False
None,Single Dynamic Network for Multi-label Renal Pathology Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,CAD-RADS Scoring using Deep Learning and Task-Specific Centerline Labeling.,False,False,False,False,False,False,False,False,False,False
None,VORTEX: Physics-Driven Data Augmentations Using Consistency Training for Robust Accelerated MRI Reconstruction.,False,False,False,False,False,False,False,False,False,False
None,SynthMap: a generative model for synthesis of 3D datasets for quantitative MRI parameter mapping of myelin water fraction.,False,False,False,False,False,False,False,False,False,False
None,Comparing representations of biological data learned with different AI paradigms augmenting and cropping strategies.,False,False,False,False,False,False,False,False,False,False
None,Self-supervised learning for analysis of temporal and morphological drug effects in cancer cell imaging data.,False,False,False,False,False,False,False,False,False,False
None,Personalized Prediction of Future Lesion Activity and Treatment Effect in Multiple Sclerosis from Baseline MRI.,False,False,False,False,False,False,False,False,False,False
None,Practical uncertainty quantification for brain tumor segmentation.,False,False,False,False,False,False,False,False,False,False
None,Weakly-supervised learning for image-based classification of primary melanomas into genomic immune subgroups.,False,False,False,False,False,False,False,False,False,False
None,i3Deep: Efficient 3D interactive segmentation with the nnU-Net.,False,False,False,False,False,False,False,False,False,False
None,Transformer-based out-of-distribution detection for clinically safe segmentation.,False,False,False,False,False,False,False,False,False,False
None,JOINED : Prior Guided Multi-task Learning for Joint Optic Disc/Cup Segmentation and Fovea Detection.,False,False,False,False,False,False,False,False,False,False
None,Unsupervised Pre-training Improves Tooth Segmentation in 3-Dimensional Intraoral Mesh Scans.,False,False,False,False,False,False,False,False,False,False
None,TopoFit: Rapid Reconstruction of Topologically-Correct Cortical Surfaces.,False,False,False,False,False,False,False,False,False,False
None,Orientation Estimation of Abdominal Ultrasound Images with Multi-Hypotheses Networks.,False,False,False,False,False,False,False,False,False,False
None,Domain Generalization for Retinal Vessel Segmentation with Vector Field Transformer.,False,False,False,False,False,False,False,False,False,False
None,Breathing Freely: Self-supervised Liver T1rho Mapping from A Single T1rho-weighted Image.,False,False,False,False,False,False,False,False,False,False
None,AdwU-Net: Adaptive Depth and Width U-Net for Medical Image Segmentation by Differentiable Neural Architecture Search.,False,False,False,False,False,False,False,False,False,False
None,Deep Learning Radiographic Assessment of Pulmonary Edema: Training with Serum Biomarkers.,False,False,False,False,False,False,False,False,False,False
None,Diffeomorphic Image Registration Using Lipschitz Continuous Residual Networks.,True,False,False,False,False,False,False,False,False,False
None,FBNETGEN: Task-aware GNN-based fMRI Analysis via Functional Brain Network Generation.,False,False,False,False,False,False,False,False,False,False
None,A Flexible Meta Learning Model for Image Registration.,False,False,False,False,False,False,False,False,False,False
None,Denoising Autoencoders for Unsupervised Anomaly Detection in Brain MRI.,False,False,False,False,False,False,False,False,False,False
None,Deep Learning for Model Correction in Cardiac Electrophysiological Imaging.,False,False,False,False,False,False,False,False,False,False
None,PILLET-GAN: Pixel-Level Lesion Traversal Generative Adversarial Network for Pneumonia Localization.,False,False,False,False,False,False,False,False,False,False
None,Improving Explainability of Disentangled Representations using Multipath-Attribution Mappings.,False,False,False,False,False,False,False,False,False,False
None,Hidden in Plain Sight: Subgroup Shifts Escape OOD Detection.,False,False,False,False,False,False,False,False,False,False
None,Confidence Histograms for Model Reliability Analysis and Temperature Calibration.,False,False,False,False,False,False,False,False,False,False
None,A Modular Deep Learning Pipeline for Cell Culture Analysis: Investigating the Proliferation of Cardiomyocytes.,False,False,False,False,False,False,False,False,False,False
None,Vision Transformers Enable Fast and Robust Accelerated MRI.,False,False,False,False,False,False,False,False,False,False
None,Detecting Out-of-Distribution via an Unsupervised Uncertainty Estimation for Prostate Cancer Diagnosis.,False,False,False,False,False,False,False,False,False,False
None,Semi-Supervised Medical Image Segmentation via Cross Teaching between CNN and Transformer.,False,False,False,False,False,False,False,False,False,False
None,Hybrid Ladder Transformers with Efficient Parallel-Cross Attention for Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Angular Super-Resolution in Diffusion MRI with a 3D Recurrent Convolutional Autoencoder.,False,False,False,False,False,False,False,False,False,False
None,Label conditioned segmentation.,False,False,False,False,False,False,False,False,False,False
None,MR Image Super Resolution By Combining Feature Disentanglement CNNs and Vision Transformers.,False,False,False,False,False,False,False,False,False,False
None,LILE: Look In-Depth before Looking Elsewhere - A Dual Attention Network using Transformers for Cross-Modal Information Retrieval in Histopathology Archives.,False,False,False,False,False,False,False,False,False,False
None,Self-Supervised Transformers for fMRI representation.,False,False,False,False,False,False,False,False,False,False
None,On the Pitfalls of Using the Residual Error as Anomaly Score.,False,False,False,False,False,False,False,False,False,False
