doi,title,venue
10.1007/978-3-031-43907-0_47,Can Point Cloud Networks Learn Statistical Shape Models of Anatomies?,MICCAI
10.1007/978-3-031-43898-1_34,Fully Bayesian VIB-DeepSSM,MICCAI
10.1007/978-3-031-43907-0_41,Multi-modal Variational Autoencoders for Normative Modelling Across Multiple Imaging Modalities,MICCAI
10.1007/978-3-031-43895-0_33,FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,MICCAI
10.1007/978-3-031-43904-9_4,cOOpD: Reformulating COPD Classification on Chest CT Scans as Anomaly Detection Using Contrastive Representations,MICCAI
10.1007/978-3-031-43901-8_52,Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,MICCAI
10.1007/978-3-031-43895-0_60,Gadolinium-Free Cardiac MRI Myocardial Scar Detection by 4D Convolution Factorization,MICCAI
10.1007/978-3-031-43901-8_70,NISF: Neural Implicit Segmentation Functions,MICCAI
10.1007/978-3-031-43987-2_77,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,MICCAI
10.1007/978-3-031-43996-4_16,Estimated Time to Surgical Procedure Completion: An Exploration of Video Analysis Methods,MICCAI
10.1007/978-3-031-43895-0_53,Adaptive Multi-scale Online Likelihood Network for AI-Assisted Interactive Segmentation,MICCAI
10.1007/978-3-031-43895-0_51,Aneurysm Pose Estimation with Deep Learning,MICCAI
10.1007/978-3-031-43898-1_70,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,MICCAI
10.1007/978-3-031-43987-2_74,ALL-IN: ALocal GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,MICCAI
10.1007/978-3-031-43990-2_42,Robust Hough and Spatial-To-Angular Transform Based Rotation Estimation for Orthopedic X-Ray Images,MICCAI
10.1007/978-3-031-43999-5_4,LLCaps: Learning to Illuminate Low-Light Capsule Endoscopy with Curved Wavelet Attention and Reverse Diffusion,MICCAI
