fold_id,pdf_name
0,Unsupervised Contrastive Learning of Image Representations from Ultrasound Videos with Hard Negative Mining
0,Robust Segmentation of Brain MRI in the Wild with Hierarchical CNNs and No Retraining
0,Deep Laparoscopic Stereo Matching with Transformers
0,Anomaly-Aware Multiple Instance Learning for Rare Anemia Disorder Classification
0,RTN: Reinforced Transformer Network for Coronary CT Angiography Vessel-level Image Quality Assessment
0,Deep Motion Network for Freehand 3D Ultrasound Reconstruction
0,A Spatiotemporal Model for Precise and Efficient Fully-Automatic 3D Motion Correction in OCT
0,Carbon Footprint of Selecting and Training Deep Learning Models for Medical Image Analysis
0,LiftReg: Limited Angle 2D 3D Deformable Registration
0,AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy
0,Conditional Deformable Image Registration with Convolutional Neural Network
0,Adversarial Learning of Cancer Tissue Representations
0,Distilling Effective Supervision for Robust Medical Image Segmentation with Noisy Labels
0,Using Causal Analysis for Conceptual Deep Learning Explanation
0,Unsupervised Representation Learning Meets Pseudo-Label Supervised Self-Distillation: A New Approach to Rare Disease Classification
0,Joint Motion Correction and Super Resolution for Cardiac Segmentation via Latent Optimisation
0,Combining Attention-Based Multiple Instance Learning and Gaussian Processes for CT Hemorrhage Detection
0,Deep Attentive Wasserstein Generative Adversarial Networks for MRI Reconstruction with Recurrent Context-Awareness
0,Edge-Variational Graph Convolutional Networks for Uncertainty-Aware Disease Prediction
0,Reinforcement Learning of Musculoskeletal Control from Functional Simulations
0,AutoSNAP: Automatically Learning Neural Architectures for Instrument Pose Estimation
0,Automatic and Interpretable Model for Periodontitis Diagnosis in Panoramic Radiographs
0,From Connectomic to Task-Evoked Fingerprints: Individualized Prediction of Task Contrasts from Resting-State Functional Connectivity
0,Active MR k-space Sampling with Reinforcement Learning
0,Few-Shot Anomaly Detection for Polyp Frames from Colonoscopy
0,Evaluation of Retinal Image Quality Assessment Networks in Different Color-Spaces
0,Fully Convolutional Boundary Regression for Retina OCT Segmentation
0,Cone-Beam Computed Tomography (CBCT) Segmentation by Adversarial Learning Domain Adaptation
0,Learning Interpretable Features via Adversarially Robust Optimization
0,Detection and Correction of Cardiac MRI Motion Artefacts During Reconstruction from k-space
0,Estimating Reference Bony Shape Model for Personalized Surgical Reconstruction of Posttraumatic Facial Defects
0,A Multiresolution Convolutional Neural Network with Partial Label Training for Annotating Reflectance Confocal Microscopy Images of Skin
0,Nonparametric Density Flows for MRI Intensity Normalisation
0,Quasi-automatic Colon Segmentation on T2-MRI Images with Low User Effort
0,Instance Segmentation and Tracking with Cosine Embeddings and Recurrent Hourglass Networks
0,Analysis of Morphological Changes of Lamina Cribrosa Under Acute Intraocular Pressure Change
0,Mean Field Network Based Graph Refinement with Application to Airway Tree Extraction
0,Improving Whole Slide Segmentation Through Visual Context - A Systematic Study
0,Joint Reconstruction and Segmentation of 7T-like MR Images from 3T MRI Based on Cascaded Convolutional Neural Networks
0,Semi-supervised Deep Learning for Fully Convolutional Networks
0,QuaSI: Quantile Sparse Image Prior for Spatio-Temporal Denoising of Retinal OCT Data
0,Ultrasonic Needle Tracking with a Fibre-Optic Ultrasound Transmitter for Guidance of Minimally Invasive Fetal Surgery
0,Automatic 3D Cardiovascular MR Segmentation with Densely-Connected Volumetric ConvNets
0,Deep Retinal Image Understanding
0,Deep Learning for Multi-task Medical Image Segmentation in Multiple Modalities
0,Accounting for the Confound of Meninges in Segmenting Entorhinal and Perirhinal Cortices in T1-Weighted MRI
0,A Statistical Model for Smooth Shapes in Kendall Shape Space
0,A 2D-3D Registration Framework for Freehand TRUS-Guided Prostate Biopsy
0,DeepOrgan: Multi-level Deep Convolutional Networks for Automated Pancreas Segmentation
0,Improved Parkinson’s Disease Classification from Diffusion MRI Data by Fisher Vector Descriptors
0,Fast Background Removal in 3D Fluorescence Microscopy Images Using One-Class Learning
0,Introducing Interactive Inverse FEM Simulation and Its Application for Adaptive Radiotherapy
0,Longitudinal Measurement of the Developing Thalamus in the Preterm Brain Using Multi-modal MRI
0,CTA Coronary Labeling through Efficient Geodesics between Trees Using Anatomy Priors
0,Time-Warped Geodesic Regression
0,Sparse Appearance Learning Based Automatic Coronary Sinus Segmentation in CTA
0,A Probabilistic Approach to Quantification of Melanin and Hemoglobin Content in Dermoscopy Images
0,Needle Guidance Using Handheld Stereo Vision and Projection for Ultrasound-Based Interventions
0,Automatic Method for Thalamus Parcellation Using Multi-modal Feature Classification
0,Segmentation Based Denoising of PET Images: An Iterative Approach via Regional Means and Affinity Propagation
0,Spatially Aware Cell Cluster(SpACCl) Graphs: Predicting Outcome in Oropharyngeal p16+ Tumors
0,Fully Automatic X-Ray Image Segmentation via Joint Estimation of Image Displacements
0,Genetic Clustering on the Hippocampal Surface for Genome-Wide Association Studies
0,Predictive Models of Resting State Networks for Assessment of Altered Functional Connectivity in MCI
0,Manifold Regularized Multi-Task Feature Selection for Multi-Modality Classification in Alzheimer’s Disease
0,High-Order Graph Matching Based Feature Selection for Alzheimer’s Disease Identification
0,Semi-Supervised and Active Learning for Automatic Segmentation of Crohn’s Disease
0,Measurement of Myelin in the Preterm Brain: Multi-compartment Diffusion Imaging and Multi-component T2 Relaxometry
0,Automated CT Segmentation of Diseased Hip Using Hierarchical and Conditional Statistical Shape Models
0,Random Walks with Adaptive Cylinder Flux Based Connectivity for Vessel Segmentation
0,Improving Explainability of Disentangled Representations using Multipath-Attribution Mappings
0,Towards IID representation learning and its application on biomedical data
0,Learned Half-Quadratic Splitting Network for MR Image Reconstruction
0,Learning Morphological Feature Perturbations for Calibrated Semi-Supervised Segmentation
0,Benefits of Linear Conditioning for Segmentation using Metadata
0,Explainable Image Quality Analysis of Chest X-Rays
0,Digitally Stained Confocal Microscopy through Deep Learning
1,TINC: Temporally Informed Non-contrastive Learning for Disease Progression Modeling in Retinal OCT Volumes
1,Test Time Transform Prediction for Open Set Histopathological Image Recognition
1,Automated Classification of General Movements in Infants Using Two-Stream Spatiotemporal Fusion Network
1,INSightR-Net: Interpretable Neural Network for Regression Using Similarity-Based Comparisons to Prototypical Examples
1,Layer Ensembles: A Single-Pass Uncertainty Estimation in Deep Learning for Segmentation
1,InsMix: Towards Realistic Generative Data Augmentation for Nuclei Instance Segmentation
1,Local Attention Graph-Based Transformer for Multi-target Genetic Alteration Prediction
1,XMorpher: Full Transformer for Deformable Medical Image Registration via Cross Attention
1,UNeXt: MLP-Based Rapid Medical Image Segmentation Network
1,OLVA: Optimal Latent Vector Alignment for Unsupervised Domain Adaptation in Medical Image Segmentation
1,SA-GAN: Structure-Aware GAN for Organ-Preserving Synthetic CT Generation
1,LensID: A CNN-RNN-Based Framework Towards Lens Irregularity Detection in Cataract Surgery Videos
1,A Principled Approach to Failure Analysis and Model Repairment: Demonstration in Medical Imaging
1,Real-Time Mapping of Tissue Properties for Magnetic Resonance Fingerprinting
1,Multiple Instance Learning with Auxiliary Task Weighting for Multiple Myeloma Classification
1,A Spherical Convolutional Neural Network for White Matter Structure Imaging via dMRI
1,A Multi-attribute Controllable Generative Model for Histopathology Image Synthesis
1,Task-Oriented Low-Dose CT Image Denoising
1,SAR: Scale-Aware Restoration Learning for 3D Tumor Segmentation
1,TransCT: Dual-Path Transformer for Low Dose Computed Tomography
1,Vascular Surface Segmentation for Intracranial Aneurysm Isolation and Quantification
1,Microtubule Tracking in Electron Microscopy Volumes
1,Foveation for Segmentation of Mega-Pixel Histology Images
1,Supervised Multi-topology Network Cross-Diffusion for Population-Driven Brain Network Atlas Estimation
1,A Physics-Informed Geometric Learning Model for Pathological Tau Spread in Alzheimer’s Disease
1,Domain Adaptation for Ultrasound Beamforming
1,Deep Q-Network-Driven Catheter Segmentation in 3D US by Hybrid Constrained Semi-supervised Learning and Dual-UNet
1,Cross-domain Medical Image Translation by Shared Latent Gaussian Mixture Model
1,3D Cardiac Shape Prediction with Deep Neural Networks: Simultaneous Use of Images and Patient Metadata
1,Unsupervised Clustering of Quantitative Imaging Phenotypes Using Autoencoder and Gaussian Mixture Model
1,Conditional Segmentation in Lieu of Image Registration
1,Synthetic Patches Real Images: Screening for Centrosome Aberrations in EM Images of Human Cancer Cells
1,3DQ: Compact Quantized Neural Networks for Volumetric Whole Brain  Segmentation
1,Uncertainty Guided Semi-supervised Segmentation of Retinal Layers in OCT Images
1,Tubular Structure Segmentation Using Spatial Fully Connected Network with Radial Distance Loss for 3D Medical Images
1,Fully Automated Pancreas Segmentation with Two-Stage 3D Convolutional Neural Networks
1,Multiple Instance Learning for Heterogeneous Images: Training a CNN for Histopathology
1,Using the Anisotropic Laplace Equation to Compute Cortical Thickness
1,Cost-Sensitive Active Learning for Intracranial Hemorrhage Detection
1,DeepASL: Kinetic Model Incorporated Loss for Denoising Arterial Spin Labeled MRI via Deep Residual Learning
1,Generative Discriminative Models for Multivariate Inference and Statistical Mapping in Medical Imaging
1,Left Ventricle Segmentation via Optical-Flow-Net from Short-Axis Cine MRI: Preserving the Temporal Coherence of Cardiac Motion
1,Multimodal Fusion of Brain Networks with Longitudinal Couplings
1,Graph-Constrained Sparse Construction of Longitudinal Diffusion-Weighted Infant Atlases
1,Developmental Patterns Based Individualized Parcellation of Infant Cortical Surface
1,UV Exposed Optical Fibers with Frequency Domain Reflectometry for Device Tracking in Intra-arterial Procedures
1,Discovering Cortical Folding Patterns in Neonatal Cortical Surfaces Using Large-Scale Dataset
1,Compressed Sensing Dynamic MRI Reconstruction Using GPU-accelerated 3D Convolutional Sparse Coding
1,Barycentric Subspace Analysis: A New Symmetric Group-Wise Paradigm for Cardiac Motion Tracking
1,Prior-Based Coregistration and Cosegmentation
1,Prediction of Trabecular Bone Anisotropy from Quantitative Computed Tomography Using Supervised Learning and a Novel Morphometric Feature Descriptor
1,Surrogate-Driven Estimation of Respiratory Motion and Layers in X-Ray Fluoroscopy
1,Estimating Large Lung Motion in COPD Patients by Symmetric Regularised Correspondence Fields
1,Vito – A Generic Agent for Multi-physics Model Personalization: Application to Heart Modeling
1,Combining Unsupervised Feature Learning and Riesz Wavelets for Histopathology Image Representation: Application to Identifying Anaplastic Medulloblastoma
1,Multi-atlas Based Segmentation Editing with Interaction-Guided Constraints
1,Regenerative Random Forest with Automatic Feature Selection to Detect Mitosis in Histopathological Breast Cancer Images
1,A Steering Engine: Learning 3-D Anatomy Orientation Using Regression Forests
1,Application of L0-Norm Regularization to Epicardial Potential Reconstruction
1,Towards Automatic Bone Age Estimation from MRI: Localization of 3D Anatomical Landmarks
1,A New Sensor Technology for 2D Ultrasound-Guided Needle Tracking
1,A Fully Bayesian Inference Framework for Population Studies of the Brain Microstructure
1,Hierarchical Bayesian Modeling Estimation and Sampling for Multigroup Shape Analysis
1,Interventional Digital Tomosynthesis from a Standard Fluoroscopy System Using 2D-3D Registration
1,A Cross-Sectional Piecewise Constant Model for Segmenting Highly Curved Fiber Tracts in Diffusion MR Images
1,Tissue-Specific Sparse Deconvolution for Low-Dose CT Perfusion
1,Non-Rigid 2D-3D Registration Using Anisotropic Error Ellipsoids to Account for Projection Uncertainties during Aortic Surgery
1,Implications of Inconsistencies between fMRI and dMRI on Multimodal Connectivity Estimation
1,Adaptively Constrained Convex Optimization for Accurate Fiber Orientation Estimation with High Order Spherical Harmonics
1,Visual Phrase Learning and Its Application in Computed Tomographic Colonography
1,EfficientCellSeg: Efficient Volumetric Cell Segmentation Using Context Aware Pseudocoloring
1,Direct Inference of Cell Positions using Lens-Free Microscopy and Deep Learning
1,Embedding-based Instance Segmentation in Microscopy
1,Guided Filter Regularization for Improved Disentanglement of Shape and Appearance in Diffeomorphic Autoencoders
1,An Auxiliary Task for Learning Nuclei Segmentation in 3D Microscopy Images
1,Exploring local rotation invariance in 3D CNNs with steerable filters
1,A novel segmentation framework for uveal melanoma in magnetic resonance imaging based on class activation maps
2,Adaptive Multi-scale Online Likelihood Network for AI-assisted  Interactive Segmentation
2,Dual-Branch Squeeze-Fusion-Excitation Module for Cross-Modality Registration of Cardiac SPECT and CT
2,Weighted Concordance Index Loss-Based Multimodal Survival Modeling for Radiation Encephalopathy Assessment in Nasopharyngeal Carcinoma Radiotherapy
2,Attentive Symmetric Autoencoder for Brain MRI Segmentation
2,Atlas-Powered Deep Learning (ADL) - Application to Diffusion Weighted MRI
2,Morphology-Aware Interactive Keypoint Estimation
2,Lesion-Aware Contrastive Representation Learning for Histopathology Whole Slide Images Analysis
2,One-Shot Segmentation of Novel White Matter Tracts via Extensive Data Augmentation
2,Fast Unsupervised Brain Anomaly Detection and Segmentation with Diffusion Models
2,Orientation-Guided Graph Convolutional Network for Bone Surface Segmentation
2,Lesion Guided Explainable Few Weak-Shot Medical Report Generation
